Id,Name,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Weight,Height,Image_File,Is_Legendary
77,ponyta,50,85,55,65,65,90,300,10,77.png,0
78,rapidash,65,100,70,80,80,105,950,17,78.png,0
79,slowpoke,90,65,65,40,40,15,360,12,79.png,0
80,slowbro,95,75,110,100,80,30,785,16,80.png,0
81,magnemite,25,35,70,95,55,45,60,3,81.png,0
82,magneton,50,60,95,120,70,70,600,10,82.png,0
83,farfetchd,52,90,55,58,62,60,150,8,83.png,0
84,doduo,35,85,45,35,35,75,392,14,84.png,0
85,dodrio,60,110,70,60,60,110,852,18,85.png,0
86,seel,65,45,55,45,70,45,900,11,86.png,0
87,dewgong,90,70,80,70,95,70,1200,17,87.png,0
88,grimer,80,80,50,40,50,25,300,9,88.png,0
89,muk,105,105,75,65,100,50,300,12,89.png,0
90,shellder,30,65,100,45,25,40,40,3,90.png,0
91,cloyster,50,95,180,85,45,70,1325,15,91.png,0
92,gastly,30,35,30,100,35,80,1,13,92.png,0
93,haunter,45,50,45,115,55,95,1,16,93.png,0
94,gengar,60,65,60,130,75,110,405,15,94.png,0
95,onix,35,45,160,30,45,70,2100,88,95.png,0
96,drowzee,60,48,45,43,90,42,324,10,96.png,0
97,hypno,85,73,70,73,115,67,756,16,97.png,0
98,krabby,30,105,90,25,25,50,65,4,98.png,0
99,kingler,55,130,115,50,50,75,600,13,99.png,0
100,voltorb,40,30,50,55,55,100,104,5,100.png,0
101,electrode,60,50,70,80,80,150,666,12,101.png,0
102,exeggcute,60,40,80,60,45,40,25,4,102.png,0
103,exeggutor,95,95,85,125,75,55,1200,20,103.png,0
104,cubone,50,50,95,40,50,35,65,4,104.png,0
105,marowak,60,80,110,50,80,45,450,10,105.png,0
106,hitmonlee,50,120,53,35,110,87,498,15,106.png,0
107,hitmonchan,50,105,79,35,110,76,502,14,107.png,0
108,lickitung,90,55,75,60,75,30,655,12,108.png,0
109,koffing,40,65,95,60,45,35,10,6,109.png,0
110,weezing,65,90,120,85,70,60,95,12,110.png,0
111,rhyhorn,80,85,95,30,30,25,1150,10,111.png,0
112,rhydon,105,130,120,45,45,40,1200,19,112.png,0
113,chansey,250,5,5,35,105,50,346,11,113.png,0
114,tangela,65,55,115,100,40,60,350,10,114.png,0
115,kangaskhan,105,95,80,40,80,90,800,22,115.png,0
116,horsea,30,40,70,70,25,60,80,4,116.png,0
117,seadra,55,65,95,95,45,85,250,12,117.png,0
118,goldeen,45,67,60,35,50,63,150,6,118.png,0
119,seaking,80,92,65,65,80,68,390,13,119.png,0
120,staryu,30,45,55,70,55,85,345,8,120.png,0
121,starmie,60,75,85,100,85,115,800,11,121.png,0
122,mr-mime,40,45,65,100,120,90,545,13,122.png,0
123,scyther,70,110,80,55,80,105,560,15,123.png,0
124,jynx,65,50,35,115,95,95,406,14,124.png,0
125,electabuzz,65,83,57,95,85,105,300,11,125.png,0
126,magmar,65,95,57,100,85,93,445,13,126.png,0
127,pinsir,65,125,100,55,70,85,550,15,127.png,0
128,tauros,75,100,95,40,70,110,884,14,128.png,0
129,magikarp,20,10,55,15,20,80,100,9,129.png,0
130,gyarados,95,125,79,60,100,81,2350,65,130.png,0
131,lapras,130,85,80,85,95,60,2200,25,131.png,0
132,ditto,48,48,48,48,48,48,40,3,132.png,0
133,eevee,55,55,50,45,65,55,65,3,133.png,0
134,vaporeon,130,65,60,110,95,65,290,10,134.png,0
135,jolteon,65,65,60,110,95,130,245,8,135.png,0
136,flareon,65,130,60,95,110,65,250,9,136.png,0
137,porygon,65,60,70,85,75,40,365,8,137.png,0
138,omanyte,35,40,100,90,55,35,75,4,138.png,0
139,omastar,70,60,125,115,70,55,350,10,139.png,0
140,kabuto,30,80,90,55,45,55,115,5,140.png,0
141,kabutops,60,115,105,65,70,80,405,13,141.png,0
142,aerodactyl,80,105,65,60,75,130,590,18,142.png,0
143,snorlax,160,110,65,65,110,30,4600,21,143.png,0
144,articuno,90,85,100,95,125,85,554,17,144.png,1
145,zapdos,90,90,85,125,90,100,526,16,145.png,1
146,moltres,90,100,90,125,85,90,600,20,146.png,1
147,dratini,41,64,45,50,50,50,33,18,147.png,0
148,dragonair,61,84,65,70,70,70,165,40,148.png,0
149,dragonite,91,134,95,100,100,80,2100,22,149.png,0
150,mewtwo,106,110,90,154,90,130,1220,20,150.png,1
151,mew,100,100,100,100,100,100,40,4,151.png,1
152,chikorita,45,49,65,49,65,45,64,9,152.png,0
153,bayleef,60,62,80,63,80,60,158,12,153.png,0
154,meganium,80,82,100,83,100,80,1005,18,154.png,0
155,cyndaquil,39,52,43,60,50,65,79,5,155.png,0
156,quilava,58,64,58,80,65,80,190,9,156.png,0
157,typhlosion,78,84,78,109,85,100,795,17,157.png,0
158,totodile,50,65,64,44,48,43,95,6,158.png,0
159,croconaw,65,80,80,59,63,58,250,11,159.png,0
160,feraligatr,85,105,100,79,83,78,888,23,160.png,0
161,sentret,35,46,34,35,45,20,60,8,161.png,0
162,furret,85,76,64,45,55,90,325,18,162.png,0
163,hoothoot,60,30,30,36,56,50,212,7,163.png,0
164,noctowl,100,50,50,86,96,70,408,16,164.png,0
165,ledyba,40,20,30,40,80,55,108,10,165.png,0
166,ledian,55,35,50,55,110,85,356,14,166.png,0
167,spinarak,40,60,40,40,40,30,85,5,167.png,0
168,ariados,70,90,70,60,70,40,335,11,168.png,0
169,crobat,85,90,80,70,80,130,750,18,169.png,0
170,chinchou,75,38,38,56,56,67,120,5,170.png,0
171,lanturn,125,58,58,76,76,67,225,12,171.png,0
172,pichu,20,40,15,35,35,60,20,3,172.png,0
173,cleffa,50,25,28,45,55,15,30,3,173.png,0
174,igglybuff,90,30,15,40,20,15,10,3,174.png,0
175,togepi,35,20,65,40,65,20,15,3,175.png,0
176,togetic,55,40,85,80,105,40,32,6,176.png,0
177,natu,40,50,45,70,45,70,20,2,177.png,0
178,xatu,65,75,70,95,70,95,150,15,178.png,0
179,mareep,55,40,40,65,45,35,78,6,179.png,0
180,flaaffy,70,55,55,80,60,45,133,8,180.png,0
181,ampharos,90,75,85,115,90,55,615,14,181.png,0
182,bellossom,75,80,95,90,100,50,58,4,182.png,0
183,marill,70,20,50,20,50,40,85,4,183.png,0
184,azumarill,100,50,80,60,80,50,285,8,184.png,0
185,sudowoodo,70,100,115,30,65,30,380,12,185.png,0
186,politoed,90,75,75,90,100,70,339,11,186.png,0
187,hoppip,35,35,40,35,55,50,5,4,187.png,0
188,skiploom,55,45,50,45,65,80,10,6,188.png,0
189,jumpluff,75,55,70,55,95,110,30,8,189.png,0
190,aipom,55,70,55,40,55,85,115,8,190.png,0
191,sunkern,30,30,30,30,30,30,18,3,191.png,0
192,sunflora,75,75,55,105,85,30,85,8,192.png,0
193,yanma,65,65,45,75,45,95,380,12,193.png,0
194,wooper,55,45,45,25,25,15,85,4,194.png,0
195,quagsire,95,85,85,65,65,35,750,14,195.png,0
196,espeon,65,65,60,130,95,110,265,9,196.png,0
197,umbreon,95,65,110,60,130,65,270,10,197.png,0
198,murkrow,60,85,42,85,42,91,21,5,198.png,0
199,slowking,95,75,80,100,110,30,795,20,199.png,0
200,misdreavus,60,60,60,85,85,85,10,7,200.png,0
201,unown,48,72,48,72,48,48,50,5,201.png,0
202,wobbuffet,190,33,58,33,58,33,285,13,202.png,0
203,girafarig,70,80,65,90,65,85,415,15,203.png,0
204,pineco,50,65,90,35,35,15,72,6,204.png,0
205,forretress,75,90,140,60,60,40,1258,12,205.png,0
206,dunsparce,100,70,70,65,65,45,140,15,206.png,0
207,gligar,65,75,105,35,65,85,648,11,207.png,0
208,steelix,75,85,200,55,65,30,4000,92,208.png,0
209,snubbull,60,80,50,40,40,30,78,6,209.png,0
210,granbull,90,120,75,60,60,45,487,14,210.png,0
211,qwilfish,65,95,85,55,55,85,39,5,211.png,0
212,scizor,70,130,100,55,80,65,1180,18,212.png,0
213,shuckle,20,10,230,10,230,5,205,6,213.png,0
214,heracross,80,125,75,40,95,85,540,15,214.png,0
215,sneasel,55,95,55,35,75,115,280,9,215.png,0
216,teddiursa,60,80,50,50,50,40,88,6,216.png,0
217,ursaring,90,130,75,75,75,55,1258,18,217.png,0
218,slugma,40,40,40,70,40,20,350,7,218.png,0
219,magcargo,60,50,120,90,80,30,550,8,219.png,0
220,swinub,50,50,40,30,30,50,65,4,220.png,0
221,piloswine,100,100,80,60,60,50,558,11,221.png,0
222,corsola,65,55,95,65,95,35,50,6,222.png,0
223,remoraid,35,65,35,65,35,65,120,6,223.png,0
224,octillery,75,105,75,105,75,45,285,9,224.png,0
225,delibird,45,55,45,65,45,75,160,9,225.png,0
226,mantine,85,40,70,80,140,70,2200,21,226.png,0
227,skarmory,65,80,140,40,70,70,505,17,227.png,0
228,houndour,45,60,30,80,50,65,108,6,228.png,0
229,houndoom,75,90,50,110,80,95,350,14,229.png,0
230,kingdra,75,95,95,95,95,85,1520,18,230.png,0
231,phanpy,90,60,60,40,40,40,335,5,231.png,0
232,donphan,90,120,120,60,60,50,1200,11,232.png,0
233,porygon2,85,80,90,105,95,60,325,6,233.png,0
234,stantler,73,95,62,85,65,85,712,14,234.png,0
235,smeargle,55,20,35,20,45,75,580,12,235.png,0
236,tyrogue,35,35,35,35,35,35,210,7,236.png,0
237,hitmontop,50,95,95,35,110,70,480,14,237.png,0
238,smoochum,45,30,15,85,65,65,60,4,238.png,0
239,elekid,45,63,37,65,55,95,235,6,239.png,0
240,magby,45,75,37,70,55,83,214,7,240.png,0
241,miltank,95,80,105,40,70,100,755,12,241.png,0
242,blissey,255,10,10,75,135,55,468,15,242.png,0
243,raikou,90,85,75,115,100,115,1780,19,243.png,1
244,entei,115,115,85,90,75,100,1980,21,244.png,1
245,suicune,100,75,115,90,115,85,1870,20,245.png,1
246,larvitar,50,64,50,45,50,41,720,6,246.png,0
247,pupitar,70,84,70,65,70,51,1520,12,247.png,0
248,tyranitar,100,134,110,95,100,61,2020,20,248.png,0
249,lugia,106,90,130,90,154,110,2160,52,249.png,1
250,ho-oh,106,130,90,110,154,90,1990,38,250.png,1
251,celebi,100,100,100,100,100,100,50,6,251.png,1
252,treecko,40,45,35,65,55,70,50,5,252.png,0
253,grovyle,50,65,45,85,65,95,216,9,253.png,0
254,sceptile,70,85,65,105,85,120,522,17,254.png,0
255,torchic,45,60,40,70,50,45,25,4,255.png,0
256,combusken,60,85,60,85,60,55,195,9,256.png,0
257,blaziken,80,120,70,110,70,80,520,19,257.png,0
258,mudkip,50,70,50,50,50,40,76,4,258.png,0
259,marshtomp,70,85,70,60,70,50,280,7,259.png,0
260,swampert,100,110,90,85,90,60,819,15,260.png,0
261,poochyena,35,55,35,30,30,35,136,5,261.png,0
262,mightyena,70,90,70,60,60,70,370,10,262.png,0
263,zigzagoon,38,30,41,30,41,60,175,4,263.png,0
264,linoone,78,70,61,50,61,100,325,5,264.png,0
265,wurmple,45,45,35,20,30,20,36,3,265.png,0
266,silcoon,50,35,55,25,25,15,100,6,266.png,0
267,beautifly,60,70,50,100,50,65,284,10,267.png,0
268,cascoon,50,35,55,25,25,15,115,7,268.png,0
269,dustox,60,50,70,50,90,65,316,12,269.png,0
270,lotad,40,30,30,40,50,30,26,5,270.png,0
271,lombre,60,50,50,60,70,50,325,12,271.png,0
272,ludicolo,80,70,70,90,100,70,550,15,272.png,0
273,seedot,40,40,50,30,30,30,40,5,273.png,0
274,nuzleaf,70,70,40,60,40,60,280,10,274.png,0
275,shiftry,90,100,60,90,60,80,596,13,275.png,0
276,taillow,40,55,30,30,30,85,23,3,276.png,0
277,swellow,60,85,60,75,50,125,198,7,277.png,0
278,wingull,40,30,30,55,30,85,95,6,278.png,0
279,pelipper,60,50,100,95,70,65,280,12,279.png,0
280,ralts,28,25,25,45,35,40,66,4,280.png,0
281,kirlia,38,35,35,65,55,50,202,8,281.png,0
282,gardevoir,68,65,65,125,115,80,484,16,282.png,0
283,surskit,40,30,32,50,52,65,17,5,283.png,0
284,masquerain,70,60,62,100,82,80,36,8,284.png,0
285,shroomish,60,40,60,40,60,35,45,4,285.png,0
286,breloom,60,130,80,60,60,70,392,12,286.png,0
287,slakoth,60,60,60,35,35,30,240,8,287.png,0
288,vigoroth,80,80,80,55,55,90,465,14,288.png,0
289,slaking,150,160,100,95,65,100,1305,20,289.png,0
290,nincada,31,45,90,30,30,40,55,5,290.png,0
291,ninjask,61,90,45,50,50,160,120,8,291.png,0
292,shedinja,1,90,45,30,30,40,12,8,292.png,0
293,whismur,64,51,23,51,23,28,163,6,293.png,0
294,loudred,84,71,43,71,43,48,405,10,294.png,0
295,exploud,104,91,63,91,73,68,840,15,295.png,0
296,makuhita,72,60,30,20,30,25,864,10,296.png,0
297,hariyama,144,120,60,40,60,50,2538,23,297.png,0
298,azurill,50,20,40,20,40,20,20,2,298.png,0
299,nosepass,30,45,135,45,90,30,970,10,299.png,0
300,skitty,50,45,45,35,35,50,110,6,300.png,0
